,time,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
301,2010-03-31,2.542866243370463e-05,4.868488207809452e-06,3.883692670655939e-06,2.5043146024899956e-06,1.0274088298003615e-06,5.622711741075349e-07,3.5290348006707454e-08
361,2010-06-30,2.215628688643093e-05,4.01475077827884e-06,2.5169250530246873e-06,1.7454203658395438e-06,6.893075039067867e-07,6.120420114244941e-07,5.6220012823364835e-08
424,2010-09-30,1.3650601072215741e-05,3.497737596065245e-06,2.8064371885168097e-06,2.0071785869764855e-06,5.457990512785352e-07,3.6483928873893846e-07,4.293720169366101e-08
485,2010-12-31,1.3433192133746155e-05,4.287906282879361e-06,2.9011427896811718e-06,1.6647953203975823e-06,5.759044721918036e-07,3.9247159507866547e-07,8.530761418122038e-08
543,2011-03-31,1.1338166691801193e-05,4.509917486133746e-06,2.47671029667694e-06,1.9003684230679896e-06,8.88477588065984e-07,3.7200479034672463e-07,7.419639443102384e-08
604,2011-06-30,9.545280546370695e-06,3.3956774447165597e-06,2.180942424633965e-06,1.7518142562041954e-06,6.81812324432789e-07,2.2579847399120782e-07,8.093645281700148e-08
669,2011-09-30,9.454486353636182e-06,7.125278090172498e-06,2.4693010310254722e-06,1.5913360900190218e-06,9.197568636404429e-07,1.948298395663161e-07,1.101469151005466e-07
729,2011-12-30,1.2109819645243181e-05,6.552474984288243e-06,2.00870372240914e-06,9.445680866227981e-07,7.322932625290524e-07,1.505594942205998e-07,8.572361180760197e-08
787,2012-03-30,1.1624249169086206e-05,5.5815224196760085e-06,1.5370641548139066e-06,6.523031016301037e-07,5.472536632134008e-07,1.9444353132047945e-07,6.971764267689013e-08
846,2012-06-29,1.2074205865158438e-05,4.556295783580857e-06,1.1991376157686693e-06,5.168391408242495e-07,4.44483149100182e-07,3.1834489327647843e-07,4.876388196431044e-08
911,2012-09-28,5.8852926782087954e-06,3.6859160059673045e-06,1.0317887022008308e-06,4.2252713733840115e-07,3.270788084720302e-07,3.1961942788151067e-07,4.2661619167306434e-08
972,2012-12-31,2.9793650735353143e-06,1.908702055300807e-06,5.801077454296499e-07,3.257653430233223e-07,2.7578451758363675e-07,1.7907688589589602e-07,3.426478182485982e-08
1028,2013-03-29,3.713220069374382e-06,1.437195519164568e-06,4.331309474650218e-07,3.066493611931471e-07,2.142152069828999e-07,1.463262196155194e-07,3.446073947953811e-08
1085,2013-06-28,4.302856416523527e-06,1.1692181031413699e-06,3.961733969792572e-07,3.0137912344240405e-07,1.48228341957334e-07,1.252771545164321e-07,3.347454479590897e-08
1149,2013-09-30,4.2621895809018795e-06,1.0386298024505682e-06,3.1986064831836446e-07,2.6386954204813124e-07,1.7734845618364526e-07,1.0047780305126455e-07,3.372277183441569e-08
1210,2013-12-31,4.5188648662903945e-06,1.1988340853004419e-06,3.046711761475743e-07,2.757127571548652e-07,2.278973325296717e-07,1.299255502094066e-07,3.5531317806477004e-08
1268,2014-03-31,4.956376422105949e-06,2.306797529814131e-06,3.11055770069554e-07,2.9498418937373345e-07,1.9415620301237836e-07,1.3192155410446286e-07,2.9115230279568786e-08
1329,2014-06-30,4.809313042630542e-06,2.335240003608847e-06,3.0825506411791744e-07,2.1481668840760042e-07,1.350130088666643e-07,9.891559748236012e-08,2.2408177675308586e-08
1394,2014-09-30,4.837030238334139e-06,1.7531920464322174e-06,2.2149532363158204e-07,1.8196234764318633e-07,9.327592907172192e-08,5.39062137243399e-08,1.3611918510411233e-08
1455,2014-12-31,5.342509508807205e-06,1.989210772002273e-06,2.21110993250645e-07,1.7626077021019716e-07,9.613080618346469e-08,6.115642563525453e-08,2.3547013497482104e-08
1512,2015-03-31,5.477557696989924e-06,2.0844328840804357e-06,2.436133401696251e-07,1.3256499395482363e-07,8.879355393436711e-08,5.531445295398663e-08,2.5130693184942196e-08
1574,2015-06-30,6.6479070397491525e-06,4.524157652628221e-06,2.7934499371468613e-07,1.3354584172000458e-07,9.227487830111944e-08,6.328467809001894e-08,2.7772764100357245e-08
1638,2015-09-30,1.8408607163313242e-05,5.800484211620289e-06,3.3849848969975445e-07,1.89297821042769e-07,9.079597378859566e-08,7.575132285641027e-08,3.244571281879099e-08
1699,2015-12-31,1.6963641243538015e-05,5.10287740026047e-06,2.8781497274872685e-07,1.5476982525516963e-07,8.215693051739618e-08,6.230140762103409e-08,2.5942258238387137e-08
1758,2016-03-31,1.797526646065083e-05,4.586230125035927e-06,3.067706884403667e-07,1.3962946773707027e-07,7.65361530074196e-08,4.9415426934508336e-08,1.8891509408854535e-08
1819,2016-06-30,1.368575792285297e-05,3.975697180673297e-06,2.7799485838173817e-07,1.217726919499216e-07,7.602011842001917e-08,4.560098864871547e-08,1.3176121205938947e-08
1883,2016-09-30,5.460398083224843e-06,2.4840998466408488e-06,2.4236484494018667e-07,8.64222464321014e-08,5.595774627454651e-08,3.1786592664002185e-08,4.051762122424233e-09
1943,2016-12-30,3.5285840095338598e-06,1.4809016347586407e-06,4.0896419616226796e-07,8.541971974979879e-08,4.4140281110215e-08,2.627752516962102e-08,2.1639269271538487e-09
2002,2017-03-31,1.4912238821228454e-06,9.77377143832686e-07,3.8061337179166703e-07,7.938444821481109e-08,2.6426863180388188e-08,1.61833632366891e-08,9.951751781934546e-10
2062,2017-06-30,2.3272631557922896e-06,5.489824441524616e-07,3.590421903416337e-07,5.8196491803113854e-08,1.6763024005246708e-08,1.0740110629193834e-08,1.0144226159844716e-09
2127,2017-09-29,2.4538703409125098e-06,4.0430312915978774e-07,2.917363988387858e-07,5.751116225405655e-08,1.1208803550602266e-08,5.951051179165072e-09,8.254137421640909e-10
2187,2017-12-29,2.551806238580679e-06,3.4900247030889923e-07,1.7919090792534547e-07,1.4231457858752616e-07,8.096472753820773e-09,3.5156599407279466e-09,8.246215638066798e-10
2246,2018-03-30,8.784484649838512e-06,4.4634572515155466e-07,1.1184592017427332e-07,9.304467546245635e-08,6.670058113849509e-08,4.65962418838973e-09,8.816230170244438e-10
2306,2018-06-29,9.955525110591154e-06,1.2050912937552887e-06,2.3760849670276602e-07,8.475670871638404e-08,5.4695533557950524e-08,4.497667743075395e-09,7.732498299160452e-10
2370,2018-09-28,9.175664895502167e-06,1.1124182708316992e-06,2.0333085709483656e-07,1.0872431364063628e-07,3.5431831270142965e-08,3.6039288506724503e-09,7.187997249011108e-10
2430,2018-12-28,1.6214188773800524e-05,1.2076167807699646e-06,1.9691358838746376e-07,1.2702313159044373e-07,2.3765515401512632e-08,3.472745297191353e-09,5.47164485043393e-10
2488,2019-03-29,1.2314056255927753e-05,8.888448208206694e-07,1.8788291253980506e-07,1.7068240888895334e-07,1.941064753294982e-08,2.4836779000286622e-09,4.4811157292299855e-10
2548,2019-06-28,9.061323488686752e-06,6.940696141002912e-07,1.8603525192322996e-07,1.6582701808854486e-07,1.4829678841106571e-08,2.242420894620651e-09,3.5165388721149224e-10
2613,2019-09-30,8.550017525712587e-06,5.415756411283592e-07,1.818591926255175e-07,1.3965218145712423e-07,1.1415300110681171e-08,2.3931708998269883e-09,2.654842632802916e-10
2674,2019-12-31,4.836376644460953e-06,3.253349137810602e-07,1.708560240911342e-07,1.0319560139492508e-07,7.086949124920602e-09,1.8168417764063911e-09,1.9220850836134035e-10
2732,2020-03-31,2.433506505445733e-05,4.954566572434686e-07,2.1744866248863925e-07,8.741767015398312e-08,6.691228545229498e-09,1.8288164275318905e-09,1.3571901924652017e-10
2791,2020-06-30,2.4079401467658814e-05,7.367366607076035e-07,3.1054321525734003e-07,6.100628645198944e-08,6.571919918920566e-09,1.5284251025114626e-09,8.670544945898341e-11
2857,2020-09-30,1.9774055747080577e-05,9.768826517315487e-07,2.784102367165596e-07,5.94107552988662e-08,5.79142481087741e-09,1.2451205319633432e-09,8.402807459667588e-11
2917,2020-12-31,1.7736227608592663e-05,1.1102194484157132e-06,2.27562368370739e-07,4.955411237693429e-08,5.9019104786744294e-09,1.047490376361656e-09,7.220676634163462e-11
2975,2021-03-31,8.062343277237634e-06,1.0024058366190046e-06,1.844439462580906e-07,4.0079317846071475e-08,6.368987345227216e-09,9.049806162402865e-10,9.973624489041432e-11
3035,2021-06-30,3.6339045690798045e-06,5.644494914178798e-07,4.333742423689944e-07,1.8273246306389602e-07,2.5487802495349446e-08,6.381227838284255e-10,8.583222935466275e-11
3099,2021-09-30,4.251439268133024e-06,1.344044704131989e-06,2.6175423702964916e-07,1.8520672590391453e-07,1.6723199277142858e-08,4.156506086096247e-10,9.718751162905883e-11
3160,2021-12-31,3.885731143540959e-06,1.8424615181540909e-06,2.579180964317444e-07,2.0980957607822227e-07,6.250471327294371e-08,2.0681173726117645e-08,5.209478381002466e-09
3218,2022-03-31,5.24694113835307e-06,1.627726965660721e-06,3.0430607238571074e-07,2.6453821595300386e-07,4.8484177531280074e-08,2.247819241068121e-08,3.6626744397158734e-09
3277,2022-06-30,6.776556085119884e-06,2.5908542543643206e-06,3.0283528323173495e-07,2.8632764994892084e-07,5.4536590823099875e-08,1.9510887843702085e-08,2.9712625916935684e-09
3342,2022-09-30,7.380699462396068e-06,2.4553466648539666e-06,3.062822624128763e-07,2.4575915940328315e-07,4.497262614734942e-08,1.508655392597765e-08,1.820788417670962e-09
3402,2022-12-30,7.701458686912217e-06,1.794795426157773e-06,4.0430245044075347e-07,2.797282849653498e-07,3.7282665986941475e-08,1.3520157153242245e-08,1.4197332928574896e-09
3461,2023-03-31,5.993190971994191e-06,1.144086120524025e-06,3.120463220260441e-07,2.2533373439337815e-07,2.3828014880791456e-08,9.493943733811678e-09,1.0145071384487027e-09
3520,2023-06-30,3.879704978080497e-06,8.159034440941415e-07,3.174051098089594e-07,1.376946094882909e-07,1.31979988802559e-08,7.090201387508209e-09,6.875996871795405e-10
3584,2023-09-28,2.3928996402793773e-06,4.325729377959106e-07,3.1182027587730415e-07,1.0888271295794848e-07,9.552872727270196e-09,5.317332712176056e-09,4.858445931102579e-10
3644,2023-12-29,1.1639986256330296e-06,3.2389586833550216e-07,2.3116416564715748e-07,6.253288462532768e-08,6.755722660034596e-09,3.661583686469808e-09,2.9248760142059176e-10
3702,2024-03-29,9.049728666425747e-07,3.014102537600882e-07,1.963306389865344e-07,5.0646663056943754e-08,9.386185481198843e-09,3.2734490680693037e-09,3.7744293111941423e-10
3761,2024-06-28,6.380230172252462e-07,3.449973759905724e-07,1.5616456976560708e-07,3.9912061289293585e-08,8.269270536311544e-09,2.976980070968033e-09,2.827980835214885e-10
3825,2024-09-30,1.4530009490758984e-06,4.369828637665129e-07,1.5154322427739973e-07,2.9702237060851915e-08,8.518818872143416e-09,2.869121927330083e-09,2.382572462013126e-10
3870,2024-12-09,1.2824371900740517e-06,4.4315398318757814e-07,1.1639830777313072e-07,3.387848759101115e-08,9.393779377125561e-09,2.5717694504513796e-09,2.453984614147799e-10
